cid	Job Title	STYRK 08	STYRK 08 label
20659	Kateket	2636	Geistlege yrke
23119	Geistlege yrke	2636	Geistlege yrke
121092	Sjømannsprest	2636	Geistlege yrke
205902	Prest i den norske kirke	2636	Geistlege yrke
121102	Studentprest	2636	Geistlege yrke
108000	Institusjonsprest	2636	Geistlege yrke
67068	Forfattarar, journalistar mm.	264	Forfattarar, journalistar mm.
19789	Teknisk forfatter	2641	Forfattarar mm.
19924	Forfatter	2641	Forfattarar mm.
22526	Forlegger	2641	Forfattarar mm.
22564	Tekstforfatter	2641	Forfattarar mm.
22524	Reporter	2642	Journalistar
22521	Nettjournalist	2642	Journalistar
109630	Aviskorresondent	2642	Journalistar
22518	Nyhetsreporter	2642	Journalistar
22514	Journalist	2642	Journalistar
39447	Fotojournalist	2642	Journalistar
105551	Døvetolk	2643	Oversettarar, tolkar mm.
66266	Oversettarar, tolkar mm.	2643	Oversettarar, tolkar mm.
32951	Oversetter	2643	Oversettarar, tolkar mm.
20487	Tolk	2643	Oversettarar, tolkar mm.
56489	Litteraturviter	2643	Oversettarar, tolkar mm.
146615	Fagoversetter	2643	Oversettarar, tolkar mm.
67069	Profesjonelle kunstnarar	265	Profesjonelle kunstnarar
54933	Billedhogger	2651	Skulptørar, kunstmalarar og andre billedkunstnarar
23619	Billedhoggerlærling	2651	Skulptørar, kunstmalarar og andre billedkunstnarar
22592	Kunstmaler	2651	Skulptørar, kunstmalarar og andre billedkunstnarar
20016	Illustratør	2651	Skulptørar, kunstmalarar og andre billedkunstnarar
67147	Skulptører, kunstmalere og andre billedkunstnere	2651	Skulptørar, kunstmalarar og andre billedkunstnarar
257147	Animatør	2651	Skulptørar, kunstmalarar og andre billedkunstnarar
69128	Keramiker (Kunstner)	2651	Skulptørar, kunstmalarar og andre billedkunstnarar
22587	Billedhogger (stein)	2651	Skulptørar, kunstmalarar og andre billedkunstnarar
109968	Keramiker/pottemaker (kunstner)	2651	Skulptørar, kunstmalarar og andre billedkunstnarar
22583	Kunstner	2651_x000D_
2659	Skulptørar, kunstmalarar og andre billedkunstnarar_x000D_
Andre utøvande kunstneriske yrke
66265	Dirigentar, komponistar, musikarar og songarar	2652	Dirigentar, komponistar, musikarar og songarar
67732	Plateprodusent	2652	Dirigentar, komponistar, musikarar og songarar
39482	Korleder	2652	Dirigentar, komponistar, musikarar og songarar
110350	Popmusiker	2652	Dirigentar, komponistar, musikarar og songarar
21794	Organist	2652	Dirigentar, komponistar, musikarar og songarar
41407	Jazzsanger	2652	Dirigentar, komponistar, musikarar og songarar
20448	Dirigent	2652	Dirigentar, komponistar, musikarar og songarar
31984	Komponist	2652	Dirigentar, komponistar, musikarar og songarar
